,name,rating,location,price
459,Alguera Apartments Industria,8.2,"Indústria, 201-203, Sant Martí, 08041 Barcelona, Spain","€ 2,051"
460,SmartRental Barcelona Ramblas,8.0,"Las Ramblas, 41, Ciutat Vella, 08002 Barcelona, Spain","€ 1,236"
461,Hostal Barcelona Centro,8.3,"Pau Claris, 104 Principal 1º, Eixample, 08009 Barcelona, Spain","€ 1,113"
462,KANEi,5.6,"14 Avinguda de Vallcarca, Gràcia, 08023 Barcelona, Spain",€ 488
463,Aspasios Market Balconies,9.1,"73 Carrer del Comte Borrell, Eixample, 08015 Barcelona, Spain","€ 1,700"
464,Barcelona City Centre Hostal,8.0,"Balmes, 60. Entresuelo., Eixample, 08007 Barcelona, Spain","€ 1,486"
465,numa I Brio,8.5,"Gran de Gràcia, 14, Gràcia, 08012 Barcelona, Spain",€ 995
466,El Born Guest House by Casa Consell,8.4,"Comerç, 29, Ciutat Vella, 08003 Barcelona, Spain","€ 1,714"
467,LetsGo Paseo de Gracia,6.9,"Paseo de Gracia, 3, Eixample, 08007 Barcelona, Spain","€ 1,451"
468,Lodging Apartments City Center-Eixample,8.4,"Aragó, 373, Eixample, 08009 Barcelona, Spain","€ 1,580"
469,Modern and bright apartment in Eixample 2-2,,"Carrer d'Entença 98, Eixample, 08015 Barcelona, Spain","€ 1,799"
470,La Maison de Barcelone,8.5,"103 Rambla de Catalunya, Eixample, 08008 Barcelona, Spain","€ 1,742"
471,ApartEasy - Gracia Apartments,7.1,"Santa Tecla, 3, Gràcia, 08012 Barcelona, Spain","€ 2,064"
472,Hotel Travessera,7.8,"Travessera de Dalt, 121-123, Gràcia, 08024 Barcelona, Spain",€ 857
473,Central Apartment,7.2,"Carrer d'En Fontrodona,17,4º,1ª, Sants-Montjuïc, 08004 Barcelona, Spain","€ 1,402"
474,Buba House,7.9,"Aragó 237, Principal 3, Eixample, 08007 Barcelona, Spain",€ 570
475,The Floating Home,8.3,"12 Carrer de la Pau, 08930 Barcelona, Spain","€ 2,815"
476,ApartEasy - Turo Park with lovely balcony,8.0,"Avenir, 69, Sarrià-St. Gervasi, 08021 Barcelona, Spain","€ 1,693"
477,ClassBedroom Eixample Free Apartments,8.2,"Different Locations, Eixample, 08036 Barcelona, Spain","€ 2,284"
478,Hostal Sol y K,8.0,"Cervantes, 2, Ciutat Vella, 08002 Barcelona, Spain","€ 1,633"
479,numa I Seda Apartments,8.3,"Rec, 34, Ciutat Vella, 08003 Barcelona, Spain","€ 1,344"
480,Bruc & Bruc,8.2,"Mallorca, 290, 2-2, Eixample, 08037 Barcelona, Spain",€ 625
481,Barcelona City Apartment,7.0,"Passatge D'alí Bei, 7, Sant Martí, 08018 Barcelona, Spain","€ 1,133"
482,Friendly Rentals Manuela,7.9,"Flassaders, 33, Ciutat Vella, 08003 Barcelona, Spain","€ 1,366"
483,HA Balmes Terrace Apartments,9.2,"62 Carrer de Balmes, Eixample, 08007 Barcelona, Spain","€ 6,585"
484,House by Pillow,8.6,"Rubió i Ors, 3  , Horta-Guinardó, 08041 Barcelona, Spain",€ 955
485,Aspasios Sagrada Familia Apartments,8.8,"116 Carrer de la Indústria, Eixample, 08025 Barcelona, Spain","€ 1,682"
486,Aspasios Garden Apartments,8.8,"205 Carrer de Provença, Eixample, 08008 Barcelona, Spain","€ 1,691"
487,Click&Flat Seneca Suites,8.5,"Riera de Sant Miquel, 15, Gràcia, 08006 Barcelona, Spain","€ 1,670"
488,Barcelona City Street,7.1,"Dènia, 34, Sarrià-St. Gervasi, 08006 Barcelona, Spain","€ 1,067"
489,Modern and bright apartment in Eixample 1-2,,"Carrer d'Entença 98, Eixample, 08015 Barcelona, Spain","€ 1,989"
490,Apartaments-Hotel Hispanos 7 Suiza,8.8,"Sicilia, 255, Eixample, 08025 Barcelona, Spain","€ 2,501"
491,Modern and bright 3BD apartment by Gran Via - Plaza España,,"Gran Via de les Corts Catalanes 442, Eixample, 08015 Barcelona, Spain","€ 2,857"
492,Picasso Suites,8.2,"Carrer de Valencia 334, Eixample, 08009 Barcelona, Spain","€ 1,766"
